CookerStat, GenerateAssetRegistry=0.016071, Initialize=0.081535, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3A3C647F4003414255FB0D86BBC7612__3740EA0E532CC80F7A4332A9A99A4974288C275F, StartTime=2016.06.02-15.12.48, HierarchicalDDC=, DataSize=1756, Duration=2.552994, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FFA456644EE47615FE316888CB126448__1_0_13123_0, StartTime=2016.06.02-16.22.32, HierarchicalDDC=, DataSize=347, Duration=3.079020, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1BFCA3D1480FA861B4560A953908D433__1_0_13123_0, StartTime=2016.06.02-16.23.37, HierarchicalDDC=, DataSize=347, Duration=2.711970, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ECACF0F1413963713D5F838D8343ED80__1_0_13123_0, StartTime=2016.06.02-16.23.37, HierarchicalDDC=, DataSize=411, Duration=3.162019, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6410E4A7452ECC3B1FB8F29BE8A95A01__1_0_13123_0, StartTime=2016.06.02-16.23.37, HierarchicalDDC=, DataSize=347, Duration=3.022038, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F69B72F14B62E00A48237C8601EBF538__1_0_13123_0, StartTime=2016.06.02-16.23.37, HierarchicalDDC=, DataSize=347, Duration=2.578125, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5912BF1B4F9121E0D50E98A119FBD288__1_0_13123_0, StartTime=2016.06.02-16.23.52, HierarchicalDDC=, DataSize=347, Duration=1.749337, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5EFCA134E2DC829F982BA92E66CE25F__1_0_13123_0, StartTime=2016.06.02-16.23.52, HierarchicalDDC=, DataSize=411, Duration=2.334692, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F03DE54F49531E434E3F798AE7E06168__1_0_13123_0, StartTime=2016.06.02-16.23.52, HierarchicalDDC=, DataSize=347, Duration=1.565810, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3A3C9F0146C361D034C9DC9D0E8D3E62__1_0_13123_0, StartTime=2016.06.02-16.23.52, HierarchicalDDC=, DataSize=347, Duration=0.928733, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_91605C7946D8452A4A9889AA3A3E4DA9__1_0_13123_0, StartTime=2016.06.02-16.23.59, HierarchicalDDC=, DataSize=347, Duration=2.691805, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_692A04714F70E52D0513E4A4439BFB26__1_0_13123_0, StartTime=2016.06.02-16.23.59, HierarchicalDDC=, DataSize=411, Duration=3.011808, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_40CC04274990AC0D2F0ADAB0450C3A8F__1_0_13123_0, StartTime=2016.06.02-16.23.59, HierarchicalDDC=, DataSize=347, Duration=2.712261, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5EFB55EE4942110522E62CAE101E5E56__1_0_13123_0, StartTime=2016.06.02-16.23.59, HierarchicalDDC=, DataSize=347, Duration=0.971403, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CBDF6FAD4C51FA469F93B08152B86685__1_0_13123_0, StartTime=2016.06.02-16.23.59, HierarchicalDDC=, DataSize=347, Duration=1.987804, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3976DE2C4940178DB836DC9FE20C8DB4__1_0_13123_0, StartTime=2016.06.02-16.23.59, HierarchicalDDC=, DataSize=411, Duration=1.092680, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6D5FCB89401A08236931A3AB71B841B7__1_0_13123_0, StartTime=2016.06.02-16.23.59, HierarchicalDDC=, DataSize=347, Duration=1.595330, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_11EA675B4E557FAEF5E3C68A3C36B4FA__1_0_13123_0, StartTime=2016.06.02-16.23.59, HierarchicalDDC=, DataSize=347, Duration=1.059361, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A960E7148FBABA410A20EB6F0211106__1_0_13123_0, StartTime=2016.06.02-16.24.10, HierarchicalDDC=, DataSize=347, Duration=2.100900, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C5E76387408916652FAD53AFD413625B__1_0_13123_0, StartTime=2016.06.02-16.24.10, HierarchicalDDC=, DataSize=411, Duration=1.980793, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_83060ADE4F8DB3A6DAB00A8C1B57F90F__1_0_13123_0, StartTime=2016.06.02-16.24.10, HierarchicalDDC=, DataSize=347, Duration=1.897208, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_809F11BE4F1096CBACD184BD901DDD2D__1_0_13123_0, StartTime=2016.06.02-16.24.10, HierarchicalDDC=, DataSize=347, Duration=1.360953, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0BD79505422D94C2B0DB368A6D452986__1_0_13123_0, StartTime=2016.06.02-16.24.15, HierarchicalDDC=, DataSize=347, Duration=2.733596, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_36AEB6A04BD3C903C03E82BB281530E3__1_0_13123_0, StartTime=2016.06.02-16.24.15, HierarchicalDDC=, DataSize=411, Duration=1.167201, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4F0717B84639A659840716AD012541C0__1_0_13123_0, StartTime=2016.06.02-16.24.15, HierarchicalDDC=, DataSize=347, Duration=1.107875, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_00D1993549AD7FF041D42D90C1B18B3A__1_0_13123_0, StartTime=2016.06.02-16.24.15, HierarchicalDDC=, DataSize=347, Duration=1.388133, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1E1979CA42A90235F5FBFEB99FE3C4A2__1_0_13123_0, StartTime=2016.06.02-16.24.36, HierarchicalDDC=, DataSize=347, Duration=3.351092, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1D0DC2ED43B0CD7E5FCA729A1A1E0703__1_0_13123_0, StartTime=2016.06.02-16.24.36, HierarchicalDDC=, DataSize=437, Duration=4.377730, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2DA66A634EEAC9F1B875C590D0BF8548__1_0_13123_0, StartTime=2016.06.02-16.24.36, HierarchicalDDC=, DataSize=347, Duration=3.166109, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
SavePackageTransactionId70C91CFB4B7D4CC4FBBFC3897D1FD5E2_1, Filename=../../../../../../Documents/Developer/Repositories/Bouturon/Saved/Autosaves/Game/Levels/EndlessRunner_Auto2.umap, AutoPackageBackupDelegate=5.380396, FlushAsyncLoading=0.008184, FlushStreamingFunc=0.120986, BlockTillAllRequestsFinished=0.004966, ResetLoadersForSaveUnMarkAllObjects=21.615103, TagPackageExports=0.516091, BeginCacheForCookedPlatformData=0.001170, SerializeImports=0.901848, GatherLocalizableTextData=5.262624, MarkNames=0.025425, SerializeSummary=0.009350, SerializeNames=0.204567, SerializeGatherableTextData=0.025425, BuildExportMap=0.118356, SortExportsNonSeekfree=0.088256, SortExportsSeekfreeConstructor=0.034485, SortExportsSeekfreeInner=5.107153, SortExportsSeekfree=0.003800, BuildDependencyMap=0.054356, SerializeImportMap=0.025135, SerializeExportMap=0.013441, SerializeDependencyMap=0.002630, SerializeStringAssetReferenceMap=0.001166, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.437774, SerializeExports=1.328807, SerializeBulkData=0.793133, MoveFile=2.388463, UnaccountedTime=0.096440, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_33FCF58340A17EE4E7DA028004D59578__1_0_13123_0, StartTime=2016.06.02-16.26.20, HierarchicalDDC=, DataSize=347, Duration=3.614694, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DCAE0B804957813510281290BF78B100__1_0_13123_0, StartTime=2016.06.02-16.26.20, HierarchicalDDC=, DataSize=437, Duration=3.334146, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E9E640B147CFBA05DAFB139AE2267B18__1_0_13123_0, StartTime=2016.06.02-16.26.20, HierarchicalDDC=, DataSize=347, Duration=3.181305, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AD3942584D628817B79E9399E4321375__1_0_13123_0, StartTime=2016.06.02-16.26.21, HierarchicalDDC=, DataSize=347, Duration=3.459807, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DD1B397449C0DCD828113D957CB248CF__1_0_13123_0, StartTime=2016.06.02-16.26.21, HierarchicalDDC=, DataSize=411, Duration=4.905801, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D9AEAD64E53D69D9C006CBA4B1C0A42__1_0_13123_0, StartTime=2016.06.02-16.26.21, HierarchicalDDC=, DataSize=347, Duration=4.764065, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3B9E50E647BFD57852157EA903A8A63D__1_0_13123_0, StartTime=2016.06.02-16.26.21, HierarchicalDDC=, DataSize=347, Duration=2.827406, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_304B5B2B4087A624419AD8A7ABE00F51__1_0_13123_0, StartTime=2016.06.02-16.26.25, HierarchicalDDC=, DataSize=347, Duration=1.621630, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6D7865B645CFB6D19F6F99B0BFFF4C6C__1_0_13123_0, StartTime=2016.06.02-16.26.25, HierarchicalDDC=, DataSize=437, Duration=1.725081, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ACC26E7C4CED6D680B984889EE03C8A2__1_0_13123_0, StartTime=2016.06.02-16.26.25, HierarchicalDDC=, DataSize=347, Duration=2.365083, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4F31CA6A416F168D5C7460B1E865C629__1_0_13123_0, StartTime=2016.06.02-16.27.25, HierarchicalDDC=, DataSize=347, Duration=2.898123, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_05AA3648457C634FEC60439A491838D5__1_0_13123_0, StartTime=2016.06.02-16.27.25, HierarchicalDDC=, DataSize=437, Duration=1.917377, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0960C4AE4C7D31ED571DE08B2D8A9524__1_0_13123_0, StartTime=2016.06.02-16.27.25, HierarchicalDDC=, DataSize=347, Duration=1.831167, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_277FC512429E9A3A974B70B0529F38F5__1_0_13123_0, StartTime=2016.06.02-16.27.32, HierarchicalDDC=, DataSize=347, Duration=4.040778, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_46AF42A1451F86E52D6C09A710CC8488__1_0_13123_0, StartTime=2016.06.02-16.27.32, HierarchicalDDC=, DataSize=437, Duration=3.878292, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6AE607F941FEBA74CAB55B8786B2FD12__1_0_13123_0, StartTime=2016.06.02-16.27.32, HierarchicalDDC=, DataSize=347, Duration=3.877416, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_623F1A0A4F361BB75158A2BABDF81028__1_0_13123_0, StartTime=2016.06.02-16.27.33, HierarchicalDDC=, DataSize=347, Duration=1.357153, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C072C8104BFBD18457ACCFA6A14B8351__1_0_13123_0, StartTime=2016.06.02-16.27.33, HierarchicalDDC=, DataSize=437, Duration=1.142360, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B2E8D9B4062D5CF6DECCBA92F7F815F__1_0_13123_0, StartTime=2016.06.02-16.27.33, HierarchicalDDC=, DataSize=347, Duration=2.094470, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_38EE18B747F5DDF97E7BF49FD1362F7C__1_0_13123_0, StartTime=2016.06.02-16.28.15, HierarchicalDDC=, DataSize=347, Duration=3.128115, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A50AD0641D8C3F7DE71B39675AD706F__1_0_13123_0, StartTime=2016.06.02-16.28.15, HierarchicalDDC=, DataSize=437, Duration=3.811955, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_067B9EFE4AB017A3FB09E7BCF8EF95B1__1_0_13123_0, StartTime=2016.06.02-16.28.15, HierarchicalDDC=, DataSize=347, Duration=1.141191, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_69A873FB4568B294B8079F9B94456427__1_0_13123_0, StartTime=2016.06.02-16.28.24, HierarchicalDDC=, DataSize=347, Duration=2.777725, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7DCAFB244784274611891180E376D077__1_0_13123_0, StartTime=2016.06.02-16.28.24, HierarchicalDDC=, DataSize=437, Duration=3.425032, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5911EB1342E5D892F308DFB11537168E__1_0_13123_0, StartTime=2016.06.02-16.28.24, HierarchicalDDC=, DataSize=347, Duration=3.752921, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
